customerID,customerName,address,donationAmount,donationDate
1005660956,Anonymous,19926 Fox Lake,27735,2026-01-13 11:29:28.812326
305399777,Mrs. Thomas M. Evans,595 Johnson Loaf Suite 272,19891,2026-02-14 14:16:54.678293
410688017,Enid Annenberg Haupt,9518 Novak Springs,27650,2026-03-19 18:57:08.975016
248834250,Mr. Arthur G. Altschul,8043 Kristen Stravenue,1722,2026-03-19 18:52:27.995098
1754774650,Mr. and Mrs. John R. Gaines,5457 Barton Hill Suite 952,35040,2026-01-05 22:58:44.941065
655412842,Mr. and Mrs. Stephen M. Kellen,3849 Navarro Loaf Apt. 331,2326,2026-01-13 03:15:11.160515
1323751760,Mr. and Mrs. Frederick R. Mayer,247 Herman Summit,35475,2026-03-07 11:46:31.009607
1928034765,Mr. and Mrs. William Wood Prince,84423 Castillo Route,43233,2026-01-02 16:31:44.476350
1911757711,Mr. and Mrs. Wallace F. Holladay,3884 Wallace Drives Apt. 273,47561,2026-03-03 02:59:32.409349
652920420,The Honorable and Mrs. Walter H. Annenberg,960 Stephenson Pike,39194,2026-02-04 15:31:35.849092
834775068,The Morris and Gwendolyn Cafritz Foundation,221 Walker Vista,22281,2026-02-24 08:49:12.724108
1008042030,Doctors Lois and Georges de Ménil,301 Williams Meadows,29482,2026-03-06 08:09:45.637604
799251764,Mr. and Mrs. Gordon Hanes,67269 David Views Apt. 095,46339,2026-02-12 22:26:53.396875
922843478,Mrs. Ruth Carter Stevenson,67393 Colleen Spur,20554,2026-01-17 17:59:56.639364
824351700,Robert and Arlene Kogod,315 Thomas Glens,2495,2026-03-14 09:28:13.485308
762227269,Samuel H. Kress Foundation,7324 Mason Falls Apt. 263,33722,2026-02-23 00:33:32.682582
1885362498,Mr. and Mrs. Robert H. Smith,40254 Dunn Dale Apt. 734,39966,2026-03-04 15:03:53.878741
480208338,The Honorable John R. Stevenson,085 Anderson Squares Apt. 183,9036,2026-02-22 23:47:56.215059
130681942,Mrs. DeWitt Wallace,5902 Pena Extensions Suite 914,1792,2026-02-13 13:56:23.066345
1094148950,The Honorable John C. Whitehead,869 Holly Lake,6549,2026-02-21 22:13:26.758427
390987976,Ian Woodner,9036 Shawn Wells,5772,2026-02-05 07:29:35.853205
181247422,Mrs. Sarah G. Epstein,246 Hill Island,46845,2026-01-12 01:52:30.355989
1864046024,Mrs. W. Averell Harriman,2111 Williams Mission,19082,2026-01-23 20:45:53.835477
1444492473,"The Brown Foundation, Inc.",06263 Sean Corner,40734,2026-03-17 15:30:44.240431
1709683717,Dr. Ruth B. Benedict,0741 Whitehead Dam Suite 772,1001,2026-02-16 10:09:08.183520
667494827,Mr. and Mrs. John Lord Booth,58109 Martin Light Suite 109,27512,2026-01-10 09:19:03.268963
1735569771,Dr. and Mrs. John C. Weber,96556 Glover Mountains,10720,2026-03-12 01:33:27.107953
549022587,Mrs. Catherine G. Curran,3674 Nicole Islands Suite 412,28948,2026-01-12 13:53:58.797933
898831121,"Mr. and Mrs. Julian Ganz, Jr.",24832 Stevens Bridge Apt. 036,39880,2026-01-03 23:13:00.114003
878560200,Mars Foundation,4740 Kelly Mills Suite 860,6425,2026-02-20 06:51:44.971621
311716480,Private Collection c/o Josefowitz,813 Bird Divide,32760,2026-03-04 19:10:47.755185
693811918,Mr. and Mrs. Harry Kahn,754 Melissa Knolls,24288,2026-01-10 00:04:27.699885
2144781526,"Mr. and Mrs. Robert L. McNeil, Jr.",7823 Tiffany Inlet,37004,2026-03-02 02:14:37.927503
791123337,Mr. John B. Davidson,95392 Tracy Circles,20050,2026-03-04 23:26:21.186632
1774796469,Mrs. Mark Jacob Millard,90057 Johns Roads,16372,2026-01-14 17:58:58.276754
